world today:(2, '北美洲', '8', '美国', 337328, 368079, 0, 19828, 10923, '2.96', 'USA', 'United States of America', 'https://file1.dxycdn.com/2020/0315/553/3402160512808052518-135.json')
world today:(2, '非洲', '10', '埃及', 978, 1322, 0, 259, 85, '6.42', 'EGY', 'Egypt', 'https://file1.dxycdn.com/2020/0315/246/3402160540725341003-135.json')
world today:(2, '非洲', '10', '摩洛哥', 970, 1141, 0, 88, 83, '7.27', 'MAR', 'Morocco', 'https://file1.dxycdn.com/2020/0315/520/3402160510660391844-135.json')
world today:(2, '欧洲', '10', '摩尔多瓦', 918, 965, 0, 30, 17, '1.76', 'MDA', 'Republic of Moldova', 'https://file1.dxycdn.com/2020/0315/234/3402160527840438516-135.json')
world today:(2, '欧洲', '10', '立陶宛', 828, 843, 0, 1, 14, '1.66', 'LTU', 'Lithuania', 'https://file1.dxycdn.com/2020/0315/774/3402160536430196722-135.json')
world today:(2, '亚洲', '10', '亚美尼亚', 758, 853, 0, 87, 8, '0.93', 'ARM', 'Armenia', 'https://file1.dxycdn.com/2020/0315/583/3402160508513085016-135.json')
world today:(2, '大洋洲', '10', '新西兰', 701, 943, 4, 241, 1, '0.10', 'NZL', 'New Zealand', 'https://file1.dxycdn.com/2020/0315/194/3402160489185731566-135.json')
world today:(2, '欧洲', '10', '匈牙利', 699, 817, 0, 71, 47, '5.75', 'HUN', 'Hungary', 'https://file1.dxycdn.com/2020/0315/954/3402160538577857255-135.json')
world today:(2, '亚洲', '10', '科威特', 637, 743, 0, 105, 1, '0.13', 'KWT', 'Kuwait', 'https://file1.dxycdn.com/2020/0315/529/3402160514955359370-135.json')
world today:(2, '欧洲', '10', '白俄罗斯', 634, 700, 0, 53, 13, '1.85', 'BLR', 'Belarus', 'https://file1.dxycdn.com/2020/0315/436/3402160510660391933-135.json')
world today:(2, '非洲', '10', '喀麦隆', 632, 658, 0, 17, 9, '1.36', 'CMR', 'Cameroon', 'https://file1.dxycdn.com/2020/0315/373/3402160506365424402-135.json')
world today:(2, '亚洲', '10', '伊拉克', 623, 1031, 0, 344, 64, '6.20', 'IRQ', 'Iraq', 'https://file1.dxycdn.com/2020/0315/762/3402160510660568794-135.json')
world today:(2, '亚洲', '10', '哈萨克斯坦', 618, 670, 0, 46, 6, '0.89', 'KAZ', 'Kazakhstan', 'https://file1.dxycdn.com/2020/0316/156/3402290551532568675-135.json')
world today:(2, '欧洲', '10', '波黑', 598, 674, 0, 47, 29, '4.30', 'BIH', 'Bosnia and Herzegovina', 'https://file1.dxycdn.com/2020/0315/908/3402160538577857266-135.json')
world today:(2, '亚洲', '10', '阿塞拜疆', 590, 641, 0, 44, 7, '1.09', 'AZE', 'Azerbaijan', 'https://file1.dxycdn.com/2020/0315/304/3402160506365424432-135.json')
world today:(2, '非洲', '10', '突尼斯', 574, 596, 0, 0, 22, '3.69', 'TUN', 'Tunisia', 'https://file1.dxycdn.com/2020/0315/984/3402160538577857284-135.json')
world today:(2, '欧洲', '10', '拉脱维亚', 541, 542, 0, 0, 1, '0.18', 'LVA', 'Latvia', 'https://file1.dxycdn.com/2020/0315/786/3402160540725164137-135.json')
world today:(2, '欧洲', '10', '保加利亚', 526, 549, 0, 3, 20, '3.64', 'BGR', 'Bulgaria', 'https://file1.dxycdn.com/2020/0315/249/3402160532135229245-135.json')
world today:(2, '欧洲', '10', '斯洛伐克', 525, 534, 0, 8, 1, '0.18', 'SVK', 'Slovakia', 'https://file1.dxycdn.com/2020/0315/353/3402160510660391916-135.json')
world today:(2, '欧洲', '10', '北马其顿', 519, 570, 0, 30, 21, '3.68', 'MKD', 'North Macedonia', 'https://file1.dxycdn.com/2020/0315/506/3402160514955536186-135.json')
world today:(2, '欧洲', '10', '安道尔', 474, 526, 0, 31, 21, '3.99', 'AND', 'Andorra', 'https://file1.dxycdn.com/2020/0315/231/3402160534282712957-135.json')
world today:(2, '亚洲', '10', '黎巴嫩', 469, 548, 0, 60, 19, '3.46', 'LBN', 'Lebanon', 'https://file1.dxycdn.com/2020/0315/735/3402160529987745467-135.json')
world today:(2, '亚洲', '10', '塞浦路斯', 451, 465, 0, 0, 14, '3.01', 'CYP', 'Cyprus', 'https://file1.dxycdn.com/2020/0315/686/3402160529987745486-135.json')
world today:(2, '北美洲', '10', '波多黎各', 434, 452, 0, 0, 18, '3.98', 'PRI', 'Puerto Rico', 'https://file1.dxycdn.com/2020/0317/609/3402535581564582783-135.json')
world today:(2, '北美洲', '10', '哥斯达黎加', 433, 435, 0, 0, 2, '0.45', 'CRI', 'Costa Rica', 'https://file1.dxycdn.com/2020/0315/133/3402160534282889827-135.json')
world today:(2, '亚洲', '10', '阿富汗', 416, 423, 0, 0, 7, '1.65', 'AFG', 'Afghanistan', 'https://file1.dxycdn.com/2020/0315/904/3402160536430373521-135.json')
world today:(2, '亚洲', '10', '乌兹别克斯坦', 358, 390, 0, 30, 2, '0.51', 'UZB', 'Uzbekstan', 'https://file1.dxycdn.com/2020/0317/423/3402535555794575352-135.json')
world today:(2, '非洲', '10', '留尼旺', 344, 344, 0, 0, 0, '0.00', 'REU', 'Réunion', 'https://file1.dxycdn.com/2020/0315/016/3402160527840261639-135.json')
world today:(2, '北美洲', '10', '古巴', 312, 320, 0, 0, 8, '2.50', 'CUB', 'Cuba', 'https://file1.dxycdn.com/2020/0315/600/3402160504218117572-135.json')
world today:(2, '亚洲', '10', '阿曼', 302, 371, 0, 67, 2, '0.53', 'OMN', 'Oman', 'https://file1.dxycdn.com/2020/0315/945/3402160506365601313-135.json')
world today:(2, '南美洲', '10', '乌拉圭', 286, 415, 0, 123, 6, '1.44', 'URY', 'Uruguay', 'https://file1.dxycdn.com/2020/0317/992/3402535566531994277-135.json')
world today:(2, '非洲', '10', '科特迪瓦', 279, 323, 0, 41, 3, '0.92', 'CIV', 'Cote d Ivoire', 'https://file1.dxycdn.com/2020/0315/055/3402160534282712929-135.json')
world today:(2, '非洲', '10', '加纳', 279, 287, 0, 3, 5, '1.74', 'GHA', 'Ghana', 'https://file1.dxycdn.com/2020/0315/872/3402176468611675385-135.json')
world today:(2, '亚洲', '10', '巴林', 269, 700, 0, 427, 4, '0.57', 'BHR', 'Bahrain', 'https://file1.dxycdn.com/2020/0315/852/3402160536430196734-135.json')
world today:(2, '北美洲', '10', '洪都拉斯', 246, 268, 0, 0, 22, '8.20', 'HND', 'Honduras', 'https://file1.dxycdn.com/2020/0315/610/3402160540725341073-135.json')
world today:(2, '欧洲', '10', '马耳他', 241, 241, 0, 0, 0, '0.00', 'MLT', 'Malta', 'https://file1.dxycdn.com/2020/0315/267/3402160529987922302-135.json')
world today:(2, '欧洲', '10', '阿尔巴尼亚', 239, 377, 0, 116, 22, '5.83', 'ALB', 'Albania', 'https://file1.dxycdn.com/2020/0315/852/3402160525692954728-135.json')
world today:(2, '非洲', '10', '布基纳法索', 238, 364, 0, 108, 18, '4.94', 'BFA', 'Burkina Faso', 'https://file1.dxycdn.com/2020/0315/667/3402160525692777928-135.json')
world today:(2, '非洲', '10', '毛里求斯', 233, 244, 0, 4, 7, '2.86', 'MUS', 'Mauritius', 'https://file1.dxycdn.com/2020/0320/751/3403052105069099803-135.json')
world today:(2, '欧洲', '10', '圣马力诺', 232, 266, 0, 2, 32, '12.03', 'SMR', 'San Marino', 'https://file1.dxycdn.com/2020/0315/846/3402160508513085010-135.json')
world today:(2, '亚洲', '10', '巴勒斯坦', 231, 253, 0, 21, 1, '0.39', 'PSE', 'occupied Palestinian territory', 'https://file1.dxycdn.com/2020/0315/967/3402160532135229211-135.json')
world today:(2, '欧洲', '10', '黑山', 231, 233, 0, 0, 2, '0.85', 'MNE', 'Montenegro', 'https://file1.dxycdn.com/2020/0319/169/3402840835627670611-135.json')
world today:(2, '亚洲', '10', '约旦', 218, 349, 0, 126, 5, '1.43', 'JOR', 'Jordan', 'https://file1.dxycdn.com/2020/0315/225/3402160532135229235-135.json')
world today:(2, '非洲', '10', '尼日尔', 217, 253, 0, 26, 10, '3.95', 'NER', 'Niger', 'https://file1.dxycdn.com/2020/0320/550/3403052105068803906-135.json')
world today:(2, '非洲', '10', '尼日利亚', 198, 238, 0, 35, 5, '2.10', 'NGA', 'Nigeria', 'https://file1.dxycdn.com/2020/0315/705/3402160532135406075-135.json')
world today:(2, '亚洲', '10', '吉尔吉斯斯坦', 191, 228, 0, 33, 4, '1.75', 'KGZ', 'Kyrgyzstan', 'https://file1.dxycdn.com/2020/0320/298/3403052105069099781-135.json')
world today:(2, '欧洲', '10', '法罗群岛', 181, 181, 0, 0, 0, '0.00', 'FO', 'Faroe Islands', 'https://file1.dxycdn.com/2020/0315/071/3402160536430196701-135.json')
world today:(2, '亚洲', '10', '格鲁吉亚', 154, 195, 0, 39, 2, '1.02', 'GEO', 'Georgia', 'https://file1.dxycdn.com/2020/0315/126/3402160506365424445-135.json')
world today:(2, '非洲', '10', '刚果（金）', 153, 180, 0, 9, 18, '10.00', 'COD', 'Democratic Republic of the Congo', 'https://file1.dxycdn.com/2020/0315/118/3402160512808052491-135.json')
world today:(2, '欧洲', '10', '泽西岛', 152, 155, 0, 0, 3, '1.93', 'JE', 'Jersey', 'https://file1.dxycdn.com/2020/0317/433/3402535555794575318-135.json')
world today:(2, '欧洲', '10', '根西岛', 151, 154, 0, 0, 3, '1.94', 'GG', 'Guernsey', 'https://file1.dxycdn.com/2020/0317/462/3402535605186702216-135.json')
world today:(2, '亚洲', '9', '越南', 150, 245, 0, 95, 0, '0.00', 'VNM', 'Vietnam', 'https://file1.dxycdn.com/2020/0315/607/3402160529987745446-135.json')
world today:(2, '非洲', '10', '肯尼亚', 148, 158, 0, 4, 6, '3.79', 'KEN', 'Kenya', 'https://file1.dxycdn.com/2020/0317/555/3402535553647091609-135.json')
world today:(2, '南美洲', '10', '玻利维亚', 147, 157, 0, 0, 10, '6.36', 'BOL', 'Bolivia (Plurinational State of)', 'https://file1.dxycdn.com/2020/0315/679/3402160529987745516-135.json')
world today:(2, '非洲', '10', '马约特', 145, 147, 0, 0, 2, '1.36', 'MYT', 'Mayotte', 'https://file1.dxycdn.com/2020/0317/329/3402535551499809905-135.json')
world today:(2, '北美洲', '10', '马提尼克', 142, 145, 0, 0, 3, '2.06', 'MTQ', 'Martinique', 'https://file1.dxycdn.com/2020/0315/454/3402160527840438534-135.json')
world today:(2, '南美洲', '10', '委内瑞拉', 141, 144, 0, 0, 3, '2.08', 'VEN', 'Venezuela', 'https://file1.dxycdn.com/2020/0315/824/3402176468611248153-135.json')
world today:(2, '非洲', '10', '塞内加尔', 132, 226, 0, 92, 2, '0.88', 'SEN', 'Senegal', 'https://file1.dxycdn.com/2020/0315/435/3402160508513085044-135.json')
world today:(2, '亚洲', '10', '斯里兰卡', 132, 180, 0, 42, 6, '3.33', 'LKA', 'Sri Lanka', 'https://file1.dxycdn.com/2020/0315/984/3402160532135406053-135.json')
world today:(2, '其他', '10', '钻石公主号邮轮', 127, 712, 0, 574, 11, '1.54', 'Princess', 'International conveyance (Diamond Princess)', 'https://file1.dxycdn.com/2020/0315/381/3402160536430196671-135.json')
world today:(2, '北美洲', '10', '瓜德罗普岛', 127, 134, 0, 0, 7, '5.22', 'GLP', 'Guadeloupe', 'https://file1.dxycdn.com/2020/0317/354/3402535547204842407-135.json')
world today:(2, '欧洲', '10', '马恩岛', 126, 127, 0, 0, 1, '0.78', 'Mann', 'Isle of Man', 'https://file1.dxycdn.com/2020/0321/575/3403237654098502377-135.json')
world today:(2, '非洲', '10', '几内亚', 123, 128, 0, 5, 0, '0.00', 'GIN', 'Guinea', 'https://file1.dxycdn.com/2020/0315/931/3402176481496577677-135.json')
world today:(2, '亚洲', '10', '孟加拉国', 114, 164, 0, 33, 17, '10.36', 'BGD', 'Bangladesh', 'https://file1.dxycdn.com/2020/0315/485/3402160532135406028-135.json')
world today:(2, '大洋洲', '10', '关岛', 108, 112, 0, 0, 4, '3.57', 'GU', 'Guam', 'https://file1.dxycdn.com/2020/0318/489/3402666812142956769-135.json')
world today:(2, '欧洲', '10', '直布罗陀', 102, 103, 0, 0, 1, '0.97', 'CIB', 'Gibraltar', 'https://file1.dxycdn.com/2020/0315/482/3402160529987745496-135.json')
world today:(2, '非洲', '10', '卢旺达', 101, 105, 0, 4, 0, '0.00', 'RWA', 'Rwanda', 'https://file1.dxycdn.com/2020/0317/028/3402535588007034113-135.json')
world today:(2, '北美洲', '10', '特立尼达和多巴哥', 97, 103, 0, 0, 6, '5.82', 'TTO', 'Trinidad & Tobago', 'https://file1.dxycdn.com/2020/0315/658/3402176490086085375-135.json')
world today:(2, '南美洲', '10', '巴拉圭', 96, 113, 0, 12, 5, '4.42', 'PRY', 'Paraguay', 'https://file1.dxycdn.com/2020/0315/004/3402160529987922312-135.json')
world today:(2, '非洲', '10', '吉布提', 81, 90, 0, 9, 0, '0.00', 'DJI', 'The Republic of Djibouti', 'https://file1.dxycdn.com/2020/0320/252/3403052105069099844-135.json')
world today:(2, '非洲', '10', '马达加斯加', 80, 82, 0, 2, 0, '0.00', 'MDG', 'Madagascar', 'https://file1.dxycdn.com/2020/0321/697/3403237654098718574-135.json')
world today:(2, '欧洲', '10', '列支敦士登', 77, 78, 0, 0, 1, '1.28', 'LIE', 'Liechtenstein', 'https://file1.dxycdn.com/2020/0315/312/3402160514955359362-135.json')
world today:(2, '欧洲', '10', '摩纳哥', 73, 77, 0, 3, 1, '1.29', 'MCO', 'Monaco', 'https://file1.dxycdn.com/2020/0315/266/3402160525692954743-135.json')
world today:(2, '亚洲', '10', '文莱', 69, 135, 0, 65, 1, '0.74', 'BRN', 'Brunei Darussalam', 'https://file1.dxycdn.com/2020/0315/199/3402160540725164222-135.json')
world today:(2, '南美洲', '10', '法属圭亚那', 66, 66, 0, 0, 0, '0.00', 'GUF', 'French Guiana', 'https://file1.dxycdn.com/2020/0315/094/3402160504218117592-135.json')
world today:(2, '亚洲', '10', '柬埔寨', 64, 114, 0, 50, 0, '0.00', 'KHM', 'Cambodia', 'https://file1.dxycdn.com/2020/0315/664/3402160527840261727-135.json')
world today:(2, '北美洲', '10', '阿鲁巴', 64, 64, 0, 0, 0, '0.00', 'ABW', 'Aruba', 'https://file1.dxycdn.com/2020/0318/025/3402668034060765266-135.json')
world today:(2, '北美洲', '10', '萨尔瓦多', 59, 62, 0, 0, 3, '4.83', 'SLV', 'The Republic of El Salvador', 'https://file1.dxycdn.com/2020/0320/757/3403052105068803877-135.json')
world today:(2, '北美洲', '10', '危地马拉', 59, 61, 0, 0, 2, '3.27', 'GTM', 'Guatemala', 'https://file1.dxycdn.com/2020/0317/045/3402535547204640218-135.json')
world today:(2, '北美洲', '10', '牙买加', 52, 55, 0, 0, 3, '5.45', 'JAM', 'Jamaica', 'https://file1.dxycdn.com/2020/0315/250/3402160540725341015-135.json')
world today:(2, '非洲', '10', '乌干达', 52, 52, 0, 0, 0, '0.00', 'UGA', 'Uganda', 'https://file1.dxycdn.com/2020/0322/955/3403423200980799158-135.json')
world today:(2, '北美洲', '10', '巴巴多斯', 51, 51, 0, 0, 0, '0.00', 'BRB', 'Barbados', 'https://file1.dxycdn.com/2020/0320/457/3403052105069099774-135.json')
world today:(2, '非洲', '10', '刚果（布）', 42, 49, 0, 2, 5, '10.20', 'COG', 'Congo', 'https://file1.dxycdn.com/2020/0317/267/3402535566531994221-135.json')
world today:(2, '北美洲', '10', '美属维尔京群岛', 42, 42, 0, 0, 0, '0.00', 'USVI', 'United States Virgin Islands', 'https://file1.dxycdn.com/2020/0318/613/3402666814290007784-135.json')
world today:(2, '非洲', '10', '马里', 41, 47, 0, 1, 5, '10.63', 'MLI', 'Mali', 'https://file1.dxycdn.com/2020/0326/954/3404165384214532716-135.json')
world today:(2, '大洋洲', '10', '法属波利尼西亚', 41, 41, 0, 0, 0, '0.00', 'PYF', 'French Polynesia', 'https://file1.dxycdn.com/2020/0315/877/3402160512807875636-135.json')
world today:(2, '非洲', '10', '埃塞俄比亚', 38, 44, 0, 4, 2, '4.54', 'ETH', 'Ethiopia', 'https://file1.dxycdn.com/2020/0315/406/3402176464316707884-135.json')
world today:(2, '北美洲', '10', '百慕大', 37, 37, 0, 0, 0, '0.00', 'BMU', 'Bermuda', 'https://file1.dxycdn.com/2020/0321/509/3403237656246202307-135.json')
world today:(2, '北美洲', '10', '开曼群岛', 34, 35, 0, 0, 1, '2.85', 'CYM', 'Cayman Islands', 'https://file1.dxycdn.com/2020/0317/570/3402535585859348238-135.json')
world today:(2, '非洲', '10', '赞比亚共和国', 33, 39, 0, 5, 1, '2.56', 'ZMB', 'The Republic of Zambia', 'https://file1.dxycdn.com/2020/0320/325/3403052105068803842-135.json')
world today:(2, '非洲', '10', '几内亚比绍', 33, 33, 0, 0, 0, '0.00', 'GBN', 'Guinea-Bissau', 'https://file1.dxycdn.com/2020/0326/097/3404165384214532726-135.json')
world today:(2, '非洲', '10', '厄立特里亚', 31, 31, 0, 0, 0, '0.00', 'ERI', 'Eritrea', 'https://file1.dxycdn.com/2020/0322/928/3403423203128282836-135.json')
world today:(2, '非洲', '10', '加蓬', 28, 30, 0, 1, 1, '3.33', 'GAB', 'Gabon', 'https://file1.dxycdn.com/2020/0317/439/3402535590154517967-135.json')
